Symbol,info,Price info Wrapper
SLM,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '128.08', 'MarketCap(M.Baht)': '-', 'EV(M.Baht)': '-', 'EBITDA(M.Baht)': '2.54', 'EV/EBITDA': '-', 'Price(Baht)': '0.19', '52WeekHigh/Low': '-/-', 'P/E(X)': '-', 'P/BV(X)': '-'}"
SONIC,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '421.34', 'MarketCap(M.Baht)': '1,432.57', 'EV(M.Baht)': '1,562.47', 'EBITDA(M.Baht)': '61.29', 'EV/EBITDA': '7.56', 'Price(Baht)': '1.70', '52WeekHigh/Low': '2.30/1.50', 'P/E(X)': '11.06', 'P/BV(X)': '0.98'}"
SPA,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '320.62', 'MarketCap(M.Baht)': '8,015.62', 'EV(M.Baht)': '8,693.36', 'EBITDA(M.Baht)': '166.40', 'EV/EBITDA': '13.90', 'Price(Baht)': '6.25', '52WeekHigh/Low': '9.87/6.25', 'P/E(X)': '22.54', 'P/BV(X)': '8.22'}"
THMUI,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '170.00', 'MarketCap(M.Baht)': '200.60', 'EV(M.Baht)': '500.11', 'EBITDA(M.Baht)': '1.91', 'EV/EBITDA': '18.85', 'Price(Baht)': '0.59', '52WeekHigh/Low': '0.84/0.55', 'P/E(X)': '-', 'P/BV(X)': '0.55'}"
TNDT,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '404.03', 'MarketCap(M.Baht)': '145.45', 'EV(M.Baht)': '736.32', 'EBITDA(M.Baht)': '12.43', 'EV/EBITDA': '-2.26', 'Price(Baht)': '0.18', '52WeekHigh/Low': '0.41/0.15', 'P/E(X)': '-', 'P/BV(X)': '1.21'}"
TNH,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '180.00', 'MarketCap(M.Baht)': '6,345.00', 'EV(M.Baht)': '5,448.09', 'EBITDA(M.Baht)': '497.43', 'EV/EBITDA': '8.17', 'Price(Baht)': '35.25', '52WeekHigh/Low': '39.00/34.25', 'P/E(X)': '14.44', 'P/BV(X)': '2.15'}"
TNP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '200.00', 'MarketCap(M.Baht)': '2,976.00', 'EV(M.Baht)': '3,224.23', 'EBITDA(M.Baht)': '70.71', 'EV/EBITDA': '12.39', 'Price(Baht)': '3.72', '52WeekHigh/Low': '4.24/2.76', 'P/E(X)': '18.13', 'P/BV(X)': '2.65'}"
TPL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '262.00', 'MarketCap(M.Baht)': '634.04', 'EV(M.Baht)': '480.22', 'EBITDA(M.Baht)': '15.66', 'EV/EBITDA': '14.13', 'Price(Baht)': '1.21', '52WeekHigh/Low': '2.28/0.84', 'P/E(X)': '-', 'P/BV(X)': '0.78'}"
TRP,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '175.00', 'MarketCap(M.Baht)': '4,340.00', 'EV(M.Baht)': '4,190.68', 'EBITDA(M.Baht)': '58.48', 'EV/EBITDA': '16.43', 'Price(Baht)': '12.40', '52WeekHigh/Low': '19.00/10.40', 'P/E(X)': '25.37', 'P/BV(X)': '2.51'}"
TURTLE,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '1,589.55', 'MarketCap(M.Baht)': '9,696.25', 'EV(M.Baht)': '9,214.58', 'EBITDA(M.Baht)': '-305.96', 'EV/EBITDA': '-30.12', 'Price(Baht)': '6.10', '52WeekHigh/Low': '9.00/3.96', 'P/E(X)': '-', 'P/BV(X)': '2.55'}"
TVDH,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '876.18', 'MarketCap(M.Baht)': '490.66', 'EV(M.Baht)': '1,192.10', 'EBITDA(M.Baht)': '7.72', 'EV/EBITDA': '-3.72', 'Price(Baht)': '0.28', '52WeekHigh/Low': '0.70/0.25', 'P/E(X)': '-', 'P/BV(X)': '0.79'}"
TVT,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '200.01', 'MarketCap(M.Baht)': '392.01', 'EV(M.Baht)': '402.60', 'EBITDA(M.Baht)': '9.39', 'EV/EBITDA': '16.12', 'Price(Baht)': '0.49', '52WeekHigh/Low': '0.85/0.36', 'P/E(X)': '37.83', 'P/BV(X)': '0.63'}"
UBA,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '300.00', 'MarketCap(M.Baht)': '636.00', 'EV(M.Baht)': '383.32', 'EBITDA(M.Baht)': '19.30', 'EV/EBITDA': '4.21', 'Price(Baht)': '1.06', '52WeekHigh/Low': '1.45/0.88', 'P/E(X)': '9.19', 'P/BV(X)': '1.03'}"
VL,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '591.81', 'MarketCap(M.Baht)': '1,361.17', 'EV(M.Baht)': '2,005.14', 'EBITDA(M.Baht)': '51.43', 'EV/EBITDA': '8.94', 'Price(Baht)': '1.15', '52WeekHigh/Low': '1.50/0.66', 'P/E(X)': '41.68', 'P/BV(X)': '1.33'}"
YGG,"['Services/-', 'mai']","{'Paid-up(M.Baht)': '301.00', 'MarketCap(M.Baht)': '927.08', 'EV(M.Baht)': '985.27', 'EBITDA(M.Baht)': '41.43', 'EV/EBITDA': '10.23', 'Price(Baht)': '1.54', '52WeekHigh/Low': '8.15/1.21', 'P/E(X)': '13.45', 'P/BV(X)': '1.41'}"
